year,revenue,assets,CIK,ticker,asset_growth
2014.0,84247000000,2104534000000,0000070858,BAC-PN,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PO,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PP,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PQ,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PS,0.0
2014.0,84247000000,2104534000000,0000070858,BACRP,0.0
2015.0,82507000000,2144316000000,0000070858,BAC,0.018902997053029225
2015.0,82507000000,2144316000000,0000070858,BML-PG,0.0
2015.0,82507000000,2144316000000,0000070858,BML-PH,0.0
2015.0,82507000000,2144316000000,0000070858,BML-PL,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PB,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PK,0.0
2015.0,82507000000,2144316000000,0000070858,BML-PJ,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PE,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PL,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PM,0.0
2015.0,82507000000,2144316000000,0000070858,MER-PK,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PN,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PO,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PP,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PQ,0.0
2015.0,82507000000,2144316000000,0000070858,BAC-PS,0.0
2015.0,82507000000,2144316000000,0000070858,BACRP,0.0
2016.0,83701000000,2144287000000,0000070858,BAC,-1.3524126108332979e-05
2016.0,83701000000,2144287000000,0000070858,BML-PG,0.0
2016.0,83701000000,2144287000000,0000070858,BML-PH,0.0
2016.0,83701000000,2144287000000,0000070858,BML-PL,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PB,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PK,0.0
2016.0,83701000000,2144287000000,0000070858,BML-PJ,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PE,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PL,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PM,0.0
2016.0,83701000000,2144287000000,0000070858,MER-PK,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PN,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PO,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PP,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PQ,0.0
2016.0,83701000000,2144287000000,0000070858,BAC-PS,0.0
2016.0,83701000000,2144287000000,0000070858,BACRP,0.0
2017.0,83701000000,2281234000000,0000070858,BAC,0.06386598435750446
2017.0,83701000000,2281234000000,0000070858,BML-PG,0.0
2017.0,83701000000,2281234000000,0000070858,BML-PH,0.0
2017.0,83701000000,2281234000000,0000070858,BML-PL,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PB,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PK,0.0
2017.0,83701000000,2281234000000,0000070858,BML-PJ,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PE,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PL,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PM,0.0
2017.0,83701000000,2281234000000,0000070858,MER-PK,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PN,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PO,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PP,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PQ,0.0
2017.0,83701000000,2281234000000,0000070858,BAC-PS,0.0
2017.0,83701000000,2281234000000,0000070858,BACRP,0.0
2018.0,91247000000,2354507000000,0000070858,BAC,0.03211989651215097
2018.0,91247000000,2354507000000,0000070858,BML-PG,0.0
2018.0,91247000000,2354507000000,0000070858,BML-PH,0.0
2018.0,91247000000,2354507000000,0000070858,BML-PL,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PB,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PK,0.0
2018.0,91247000000,2354507000000,0000070858,BML-PJ,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PE,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PL,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PM,0.0
2018.0,91247000000,2354507000000,0000070858,MER-PK,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PN,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PO,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PP,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PQ,0.0
2018.0,91247000000,2354507000000,0000070858,BAC-PS,0.0
2018.0,91247000000,2354507000000,0000070858,BACRP,0.0
